RainfallJan75m,RainfallJul75m,Dem75mInteger,terrain_ruggedness_index_sept2012,wetness_index_saga_sept2012,topographic_position_index_sept2012,SouthSummerEVI,SouthSummerNDVI
69.10669708,84.12120056,33324,7,11.61009979,3.789599895,1.34799242,1.727028012
73,140.9651031,23997,10.08710003,16.47739983,-5.408500195,1.353303909,1.811676025
78.32250214,206.2928925,95385,9.643699646,11.27029991,4.157599926,1.366259098,1.769022822
80.79699707,144.7863007,64189,11.72599983,13.20230007,-2.943399906,1.399237394,1.799530149
67.99620056,154.1811981,52910,9.246600151,12.50389957,-0.331099987,1.275760889,1.576832175
63.93370056,113.9394989,35028,8.077699661,14.98419952,-4.74630022,1.336800933,1.720857263
84,107.8018036,52776,7.984399796,11.18060017,-0.331099987,1.323558092,1.794666648
75.37010193,127.9494019,55984,6.98210001,14.57989979,-2.759399891,1.323565364,1.796841621
59.94639969,138.611496,37090,10.68879986,13.64610004,-3.863199949,1.273468375,1.726415157
78.99410248,138.9179993,53496,1.581099987,12.69159985,0.588699996,1.349346757,1.807710648
78.76580048,186.3730011,105788,7.842199802,11.78559971,3.01699996,1.438387275,1.78933239
72.80290222,106.009201,27585,15.2560997,11.92510033,0.29429999,1.354699969,1.777437449
78.94380188,154.740799,70197,13.67479992,10.80990028,1.986799955,1.320616007,1.812981248
83.94860077,186.2595978,119411,13.55539989,10.48190022,4.37830019,1.311092854,1.719981909
75.68009949,133.6499939,20941,9.31400013,15.2656002,-1.618899941,1.366034269,1.786416054
81.96179962,150.8892975,75599,10.4762001,11.06459999,1.067000031,1.372645736,1.760649204
71.4701004,83.46420288,29273,3.08220005,13.57310009,1.251000047,1.29735148,1.687961817
66.20970154,88.5664978,19116,3.391200066,15.19489956,-0.625500023,1.318806171,1.727002859
76.34329987,87.79599762,36807,7.77820015,11.03279972,2.685899973,1.316842675,1.674743295
79.32749939,189.5594025,80708,32.6955986,10.30080032,1.582100034,1.373941183,1.780175328
70.9815979,160.9561005,56011,8.276499748,13.11569977,1.067000031,1.301629901,1.716777802
77.66139984,98.72039795,31621,11.16919994,13.36670017,-2.170799971,1.380351543,1.750291824
80.84729767,132.1867065,59686,13.69309998,12.66460037,-0.220699996,1.307192564,1.825568676
74.86599731,182.8708038,72767,8.261400223,10.9513998,3.384900093,1.303376436,1.731343269
53.08300018,110.7123032,64043,5.408299923,11.93319988,-0.183899999,1.356826425,1.744372368
79.23049927,91.23049927,40246,4.949699879,13.17169952,0.662299991,1.395139217,1.75239563
81.69709778,186.1605988,112232,11.96870041,11.56040001,-0.331099987,1.318823576,1.739090919
74.12590027,89.08159637,26432,10.04990005,13.94900036,-5.997200012,1.272574544,1.709325314
67.58850098,152.8321075,53936,23.02169991,10.18500042,2.244400024,1.253853321,1.704280138
51.05419922,106.0782013,58601,3.674200058,13.37139988,-0.147200003,1.270422935,1.536462069
81.05509949,161.5433044,76987,13.61069965,10.49730015,4.37830019,1.343416691,1.814202309
80.09149933,191.2686005,104108,5.590199947,11.36359978,0.735899985,1.327927232,1.764055252
77,134.7646942,41416,15.20689964,12.0454998,-0.257600009,1.372448802,1.829640627
84.14839935,191.9992065,126364,14.94159985,10.82719994,-0.184,1.330237389,1.701298714
76.34190369,156.358902,52769,6.062200069,14.8142004,1.986799955,1.348482251,1.842178106
74.48509979,125.4413986,38539,7.697400093,15.83129978,-4.9302001,1.323274016,1.814936519
79,128.6324005,76277,10.98859978,11.55580044,1.50849998,1.334599853,1.808392644
80.88480377,192.0189972,111300,4.743400097,13.37870026,-1.655699968,1.301729321,1.719431281
75,142.1687012,79822,16.38599968,12.40170002,-1.692499995,1.348197579,1.788939714
73.1065979,122.8632965,52913,21.21910095,11.17800045,-2.796200037,1.272927523,1.682875395
76.57420349,172.3674011,71957,12.84519958,10.51329994,3.348099947,1.290723443,1.774566412
72.04650116,164.1918945,70973,4.387499809,12.24090004,1.50849998,1.369119763,1.76081419
71.31520081,170.283493,65417,6.204800129,13.6953001,0,1.270507813,1.700336695
65.99189758,164.9190063,72687,7.262899876,11.29489994,3.127399921,1.365942478,1.706206322
71.50209808,171.3168945,58529,12.38949966,13.53689957,-1.287799954,1.359074712,1.786819935
59.67639923,110.7811966,51565,7.176400185,12.1189003,0.184,1.354670286,1.67792964
71.88600159,166.1152954,47720,6.576499939,14.56620026,-0.699100018,1.33570683,1.740641713
68.01470184,157.1192932,69891,4.5,13.80290031,-1.251000047,1.35122323,1.755824804
59.1291008,104.8498001,49926,4.527699947,11.68739986,1.140599966,1.373421788,1.737410069
62.30509949,99.12860107,47574,5.766300201,11.72869968,1.21420002,1.330595851,1.720628977
78.99449921,154.1766968,62998,8.381500244,12.39729977,0.662299991,1.341507196,1.812396765
71.01779938,168.331604,45698,9.759599686,12.7262001,-0.404700011,1.339076877,1.711451769
54.01670074,113.9188995,32782,7.245699883,14.52540016,-2.134000063,1.284118652,1.681576133
54.81760025,103.6369019,50499,4.061999798,14.97959995,1.140599966,1.284977078,1.598143578
52.95510101,100.0166016,51840,5.220200062,13.60009956,1.655699968,1.318152308,1.658511639
76.00270081,206.0558014,78343,9.460399628,13.30080032,-2.170799971,1.321008086,1.817928076
61.60850143,144.1360016,33421,4.301199913,15.79559994,-1.177399993,1.293640971,1.70532918
72.0059967,106.2095032,25840,10.70049953,12.4282999,-0.404700011,1.343929768,1.743992209
82.99939728,190.9848938,100682,9.937299728,11.53209972,1.692499995,1.332315445,1.770220637
76.45410156,115.4477997,42449,9.604700089,10.63339996,2.832999945,1.419418812,1.763539791
68.26979828,142.3408966,30853,6,13.23289967,0.404700011,1.314376354,1.664453268
70.94229889,83.23419952,29694,11.15799999,11.98560047,1.398100019,1.326685071,1.711564541
44.88119888,84.75370026,31064,15.58850002,11.38370037,-2.023600101,1.323569059,1.61492002
61,76.96630096,17885,5.02489996,14.77009964,-0.331099987,1.259530306,1.514975309
74.99970245,117.7554016,26589,4.847700119,12.41730022,0.257600009,1.331995606,1.733194351
64.80090332,97.11710358,22457,12.19629955,11.27779961,0.29429999,1.358959913,1.699324369
75.07209778,85.34739685,30311,12.4399004,12.68939972,-4.341499805,1.292073131,1.747888207
67.67030334,98.46949768,12559,2.957999945,15.74199963,-0.809400022,1.419053793,1.719483972
80.99980164,120.2111969,44063,18.88120079,11.52760029,-0.331099987,1.511730671,1.814088106
66.07170105,80.07170105,24650,3.57069993,14.30780029,-0.331099987,1.284183145,1.625195265
68.10179901,82.65149689,25393,6.461400032,11.35429955,1.802800059,1.347984552,1.724550962
87.95549774,200.2783966,109219,4.183300018,13.86369991,1.913200021,1.360406041,1.802964211
67.17430115,79.95880127,26872,7.858099937,11.11520004,2.428299904,1.283451915,1.692122698
70.71140289,107.1425018,18662,2.121299982,16.86650085,-1.140599966,1.354220033,1.756074905
49.17269897,102.982399,49186,23.68020058,10.81869984,-1.913200021,1.208236098,1.623346329
74.03009796,90.08409882,35190,13.62899971,12.53919983,2.097199917,1.32553494,1.672597885
67.11949921,96.95320129,30970,13.98209953,10.79419994,0.919799984,1.286107421,1.681007266
80,172.4878998,76763,13.87440014,14.77760029,0.95660001,1.304641604,1.811263323
52.00899887,61.03720093,15014,6.244999886,13.38720036,-2.097199917,1.261500478,1.596707821
74.60199738,93.40499878,46685,23.47340012,11.40130043,-1.361299992,1.320530057,1.610818863
56.81840134,135.3730927,64456,8.215800285,11.06219959,3.164200068,1.252882838,1.47517252
75.40519714,134.6452026,53202,11.21380043,12.76360035,-1.398100019,1.346556902,1.711741447
86.69779968,198.521698,126497,12.14500046,11.91740036,0.515100002,1.298287868,1.783261776
49.0237999,114.9338989,31422,5.567800045,15.16730022,0.551900029,1.290898085,1.603498459
55.2195015,130.3672028,38733,7.123899937,16.5135994,-2.501899958,1.321332335,1.638276815
81.46620178,170.7342987,81238,13.13389969,10.59109974,4.856599808,1.386488914,1.781505346
69.24819946,96.17690277,22921,3.968600035,14.7510004,0.919799984,1.224034667,1.49406743
74.28690338,91.80780029,56844,28.9871006,10.79740047,-2.906599998,1.172240615,1.634408712
81.96730042,181.815094,77444,9.340800285,12.94299984,-2.317899942,1.397869229,1.781759977
83,205.0305023,104799,6.123700142,11.36900043,1.287700057,1.348922253,1.741513252
73.79940033,113.5575027,22728,5.220200062,13.95330048,0.404700011,1.328862429,1.75154686
91,208.9243927,120326,3.605600119,11.5642004,1.582000017,1.359053254,1.795679569
68,136.3760071,25165,6.224899769,14.20569992,0.257499993,1.277178764,1.599825978
70.32720184,132.9454041,39704,6.745399952,15.95829964,0.29429999,1.309718013,1.771090746
74.9382019,115.7718964,27965,9.354100227,12.29389954,3.458499908,1.412360907,1.788596272
74,93.00289917,46527,11.52169991,13.5703001,4.488699913,1.303806305,1.684672832
83.02459717,204.576004,112157,5.744599819,12.33310032,3.348200083,1.346727371,1.761436462
63.07949829,88.07949829,14365,5.787899971,14.89459991,-1.50849998,1.320651531,1.726283073
53.99499893,71.9489975,28882,5.243999958,13.83870029,0.95660001,1.25592041,1.448114753
64.0951004,102.0091019,50000,6.745399952,11.56620026,1.582100034,1.274811745,1.643540621
79.7410965,173.2115021,73387,20.18040085,10.89680004,-2.649100065,1.238839865,1.781842709
72.13680267,154.8986053,49282,18.33709908,11.46749973,-2.501899958,1.372161984,1.79696703
56.58050156,134.1873932,47817,10.06229973,10.58609962,3.642499924,1.316900134,1.617214918
82.19020081,189.0529938,83023,14.20390034,11.91030025,-1.398100019,1.278927803,1.824234366
63.09479904,85.09549713,16484,3.968600035,14.81040001,1.582100034,1.342516422,1.673469424
69.50679779,187.2980042,88989,10.70049953,10.73910046,1.618899941,1.332289696,1.783896208
67.30680084,139.2035065,46661,23.57439995,11.22789955,-2.649100065,1.205530286,1.713318348
81,201.545105,95220,3.122499943,12.25329971,0.625500023,1.326994419,1.771812081
85.39320374,194.095993,100250,17.37100029,10.93459988,4.047200203,1.334893703,1.796377897
78.0428009,152.2032013,66693,13.91940022,13.30980015,-1.140599966,1.263340354,1.676126957
64.00579834,80,20589,6.062200069,14.43869972,0.184,1.342938066,1.736088991
87.1917038,194.1009979,105861,21.38920021,10.61520004,0.331200004,1.396351337,1.823073864
72.48829651,141.1152039,36945,14.55160046,13.98849964,-2.980200052,1.301607728,1.78390193
44.00040054,80.13020325,32830,4.974899769,15.56729984,0.662299991,1.225506902,1.435406685
57.79499817,137.5664978,53967,8.396400452,11.49030018,0.588699996,1.299661517,1.654706597
75.3062973,91.83799744,50933,16.63579941,10.25990009,5.040599823,1.287860751,1.562924504
76,137.7635956,80287,15.51609993,13.77330017,1.655699968,1.373769641,1.822390556
54.08769989,123.020401,56997,10.98859978,11.14970016,1.545300007,1.282906055,1.564572811
68.08280182,103.0828018,46573,12.34910011,12.56270027,1.361299992,1.245392323,1.637288094
85.90969849,184.4812012,98768,3.53550005,11.98499966,0.551900029,1.37423265,1.81572485
68.00029755,152.5133057,38803,20.15559959,12.80249977,-2.207600117,1.276631594,1.731677055
64.91590118,87,22539,6.819099903,11.52519989,3.384900093,1.309893489,1.609338522
80.2845993,118.358902,50786,15.91380024,10.94270039,1.324499965,1.408178449,1.768382311
64.90249634,159.2595978,38754,3.53550005,17.4423008,-2.317899942,1.386534572,1.777176023
81,196.4046021,83560,5.02489996,13.41909981,0.331200004,1.347448707,1.805292964
81.00650024,213.3603058,96649,11.6189003,13.98620033,0.809400022,1.423802972,1.850526333
68.55059814,130.4960022,74078,2.87229991,13.56680012,0.073600002,1.312325597,1.807278275
60.83980179,146.0213013,41683,5.612500191,14.91090012,0.29429999,1.298685551,1.654004574
79.30809784,156.607193,65137,21.75429916,10.49720001,0.883000016,1.399446487,1.813771486
90.59269714,216.0431976,126089,3.70810008,11.89840031,1.986799955,1.364424229,1.745411992
72.85420227,209.9954071,91321,6.422599792,11.74569988,-0.367900014,1.340810895,1.776445389
80.98970032,207.5063934,91143,9.565600395,12.19349957,-1.25090003,1.417059779,1.848605633
52.56510162,76.99690247,34624,6.745399952,15.98620033,2.170799971,1.255676389,1.478559136
68,131.9972992,71359,5.678899765,11.98169994,1.103800058,1.373656034,1.756878853
72.3553009,153.4230042,45684,4.636799812,15.63319969,-1.876399994,1.379950881,1.682739377
61.96289825,138.0326996,53324,11.32479954,11.55770016,-1.876399994,1.353180528,1.719269753
55.57820129,86.79070282,37459,16.06240082,11.31050014,-0.588699996,1.36169517,1.729941368
63.94609833,123.9345016,67218,3.70810008,12.04510021,1.766000032,1.359406352,1.711007118
73.99970245,127.8319016,38612,10.40429974,12.48279953,-0.331099987,1.383177519,1.810766697
68.99990082,131.9400024,77470,4.663700104,12.05119991,2.354799986,1.334396243,1.817023277
