x,y,PO1,PO2,PO3,SO1,SO2,SO3,GG1,GG2,GG3,YB1,YB2,YB3
2571863.69,2481930.283,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2611387.051,2420937.266,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2610191.995,2405967.895,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2583726.469,2472888.269,1,0,NA,0,0,NA,0,0,NA,0,0,NA
2590249.17,2464261.527,0,0,NA,3,1,NA,0,0,NA,0,0,NA
2590929.879,2416053.618,0,1,NA,0,1,NA,3,2,NA,0,0,NA
2589925.783,2398899.543,0,0,0,0,2,2,0,0,0,0,0,0
2626784.674,2402499.329,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2565258.351,2424618.419,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2593187.63,2425536.203,0,0,NA,0,0,NA,0,0,NA,2,0,NA
2551099.728,2400112.694,0,0,NA,0,0,NA,0,0,NA,2,3,NA
2560265.089,2422340.491,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2572284.569,2421713.242,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2583116.908,2419433.662,0,0,NA,0,0,NA,2,0,NA,0,0,NA
2552140.875,2396581.044,0,0,NA,0,0,NA,0,0,NA,7,2,NA
2622131.161,2407425.309,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2598812.288,2423884.477,0,0,NA,1,0,NA,0,0,NA,0,0,NA
2583214.554,2381965.243,0,0,0,0,0,0,0,0,2,0,0,0
2516284.985,2441636.19,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2516975.263,2442725.746,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2584506.917,2423181.878,0,0,0,0,0,0,1,2,1,0,0,0
2581013.522,2428996.349,0,0,0,0,0,0,3,1,2,0,0,0
2585610.485,2465120.645,0,0,0,0,0,0,0,0,0,0,0,0
2568049.123,2425687.657,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2595558.246,2382618.295,0,1,NA,0,0,NA,0,0,NA,0,0,NA
2589996.515,2461104.61,0,0,0,0,0,0,2,0,0,0,0,0
2582250.657,2428363.892,0,0,NA,0,0,NA,0,0,NA,1,0,NA
2587764.347,2429087.517,0,0,NA,0,0,NA,0,2,NA,0,0,NA
2558273.405,2426254.227,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2562621.419,2420946.936,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2607588.636,2385330.66,2,0,NA,0,0,NA,0,0,NA,0,0,NA
2557657.582,2421044.36,0,0,NA,0,0,NA,0,0,NA,0,1,NA
2555137.05,2432937.145,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2511904.674,2474186.438,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2583106.815,2469023.89,0,0,NA,2,0,NA,0,0,NA,0,0,NA
2625649.196,2403785.02,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2620054.092,2399335.769,0,0,0,0,0,0,0,0,0,0,0,1
2572724.171,2478947.158,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2618819.587,2418513.063,0,2,NA,0,0,NA,0,0,NA,0,0,NA
2554420.148,2419809.666,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2571262.971,2424912.212,0,1,NA,0,0,NA,0,0,NA,3,0,NA
2594212.727,2382912.029,0,1,3,0,0,0,0,0,0,0,0,0
2529518.592,2402869.165,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2567820.657,2444226.522,0,0,NA,0,0,NA,3,0,NA,0,1,NA
2568053.588,2433542.614,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2574819.151,2439445.671,0,0,0,0,1,1,0,0,0,0,2,0
2517426.23,2454835.498,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2566839.195,2457467.943,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2558223.429,2428330.047,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2567902.765,2431287.945,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2577048.16,2458430.745,0,0,NA,1,1,NA,0,0,NA,0,0,NA
2574126.742,2435091.619,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2512395.167,2448414.035,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2521374.17,2458338.546,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2555440.781,2444765.696,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2555863.005,2468095.092,2,2,NA,0,0,NA,0,0,NA,0,0,NA
2513116.574,2449369.893,1,0,NA,0,0,NA,0,0,NA,0,0,NA
2517791.011,2461149.915,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2552914.808,2426835.167,1,0,NA,0,0,NA,0,0,NA,2,0,NA
2515310.447,2454769.32,0,0,NA,0,0,NA,0,0,NA,0,0,NA
