Date	FTD_A_ludens	SBC_A_ludens	FTD_A_obliqua	SBC_A_obliqua	FTD_A_serpentina	SBC_A_serpentina	AP-MZ	MAT-MZ	AP-JC	MAT-JC	SOI	NAOI
April_2003	0.878	0.245	0.0857	0.413	0.0286	0.467	155	22.17	22.9	19.8	-0.7	-0.2
feb-95	1.1577	0.068	0.0536	0.288	0.1451	0.374	12.8	24.79	126.2	22.27	-1	0
June_2003	0.1762	0.091	0.2188	0.306	0.5	0.35	100.7	24.65	227.5	21.72	-1.9	-0.1
July_2003	0.1042	0.45	0.2411	0.534	0.7714	0.327	141.5	23.27	201.8	19.42	0.4	0.1
August_2003	0.0643	0.319	0.0246	0.746	0.1629	0.63	107	23.27	79.4	19.95	-0.5	-0.1
September_2003	0.0387	0.15	0.0089	0.5	0.0134	0.333	534.4	23.73	284.6	20.15	-0.2	0
October_2003	0.0357	0.083	0.0054	0.25	0.0036	0	302.3	22.29	99.7	20.19	-0.5	-1.3
November_2003	0.031	0.611	0.0071	0	0.0018	1	87.6	19.18	29.2	17.02	-0.7	0.9
December_2003	0.1369	0.245	0.0089	0.75	0.0045	1	96.9	14.89	12.4	13.45	1.8	0.6
January_2004	0.0208	0.444	0.0268	0.875	0.0067	0.5	54.9	16.16	13	15.82	-2.8	-0.3
February_2004	0.1143	0.469	0.0804	0.642	0.0268	0.262	51.2	16.12	13.7	15.33	1.8	-0.1
March_2004	0.5774	0.383	0.0071	0.25	0.05	0.393	53.7	21.42	9	18.82	-0.3	1
April_2004	0.1131	0.421	0.1183	0.122	0.1652	0.232	171.4	20.93	61.4	18.45	-2.1	1.2
mar-95	0.3548	0.41	0.3281	0.178	1.558	0.241	235.8	23.05	56.7	20.23	1.5	0.2
June_2004	0.3869	0.255	1.6946	0.252	5.9036	0.253	117.3	24.5	128	20.42	-2.2	-0.9
July_2004	0.5103	0.135	0.8906	0.354	4.8036	0.319	74.5	23.69	145.2	19.31	-1.2	1.1
August_2004	0.0402	0	0.0156	0.333	2.3839	0.338	177	23.37	218.3	19.56	-1.2	-0.5
September_2004	0	NA	0	NA	0.1464	0.407	310	23.12	146.3	19.37	-0.6	0.4
October_2004	0.0143	0.556	0.0022	0	0.0246	0.619	209.9	22.74	283.2	19.81	-0.5	-1.1
November_2004	0.003	1	0.0022	0	0	NA	54	19.32	7.6	16.4	-1.4	0.7
December_2004	0	NA	0.0143	0.813	0.0107	0.417	86.3	15.4	0.5	14.82	-1.8	1.2
