planta;parche;diam;peso;az;pulpa;sem;pulpa.sem
P2-153;P2;8.449;0.326;24.5;0.262;0.0646;4.05
P2-153;P2;8.464;0.328;24.25;0.264;0.0642;4.107
P2-153;P2;8.93;0.378;27.5;0.288;0.0907;3.171
P2-153;P2;8.915;0.377;24;0.3;0.0763;3.937
P2-153;P2;7.926;0.27;20.5;0.213;0.0568;3.746
P2-153;P2;8.211;0.3;26;0.239;0.0617;3.869
P2-153;P2;7.386;0.211;26.25;0.161;0.0504;3.188
P2-153;P2;8.983;0.384;24.25;0.306;0.0778;3.936
P2-153;P2;8.395;0.32;26.5;0.251;0.0696;3.603
P2-153;P2;7.623;0.237;26.75;0.175;0.0614;2.856
P2-153;P2;8.243;0.304;27.5;0.24;0.0643;3.726
P2-153;P2;8.519;0.334;26;0.275;0.0589;4.667
P2-153;P2;7.748;0.25;24.5;0.193;0.0576;3.345
P2-153;P2;8.021;0.28;26;0.225;0.0546;4.126
P2-153;P2;8.518;0.334;25;0.276;0.0572;4.834
P2-153;P2;9.679;0.459;24.5;0.4;0.0592;6.761
P2-153;P2;8.395;0.32;24;0.259;0.0612;4.235
P2-153;P2;7.861;0.263;27;0.191;0.0713;2.682
P2-153;P2;8.663;0.349;24.25;0.28;0.0692;4.049
P2-153;P2;8.221;0.302;25;0.25;0.0511;4.901
P2-153;P2;8.342;0.315;25.25;0.252;0.0631;3.986
P2-153;P2;8.715;0.355;25.25;0.284;0.0715;3.965
P2-153;P2;8.074;0.286;26.5;0.229;0.0565;4.055
P2-153;P2;8.663;0.349;25.5;0.288;0.0612;4.709
P2-153;P2;8.288;0.309;29.75;0.248;0.0609;4.07
P2-154;P2;7.119;0.182;23.5;0.145;0.0367;3.963
P2-154;P2;7.39;0.212;20.25;0.158;0.0533;2.968
P2-154;P2;6.991;0.168;22.5;0.13;0.0381;3.417
P2-154;P2;6.575;0.123;23.5;0.089;0.0347;2.551
P2-154;P2;6.847;0.153;18.25;0.117;0.0356;3.289
P2-154;P2;7.499;0.223;22.25;0.18;0.0438;4.099
P2-154;P2;7.01;0.17;23.5;0.132;0.0381;3.471
P2-154;P2;8.033;0.281;22.5;0.24;0.0409;5.874
P2-154;P2;7.705;0.246;23.75;0.206;0.0395;5.218
P2-154;P2;6.684;0.135;23.25;0.101;0.0345;2.914
P2-154;P2;7.01;0.17;25;0.14;0.0303;4.622
P2-154;P2;6.304;0.094;19;0.069;0.0253;2.711
P2-154;P2;7.988;0.276;23.25;0.227;0.0489;4.65
P2-154;P2;7.01;0.17;28.75;0.124;0.0463;2.679
P2-154;P2;7.3;0.202;23.75;0.161;0.0411;3.909
P2-154;P2;6.889;0.157;22;0.11;0.0474;2.317
P2-154;P2;7.608;0.235;25;0.193;0.0417;4.638
P2-154;P2;7.662;0.241;24.25;0.196;0.0445;4.415
P2-154;P2;7.282;0.2;24.25;0.162;0.0376;4.314
P2-154;P2;6.575;0.123;27.5;0.09;0.0332;2.712
P2-154;P2;7.662;0.241;23.5;0.195;0.0462;4.216
P2-154;P2;7.279;0.199;23;0.155;0.044;3.534
P2-154;P2;7.328;0.205;24;0.159;0.0457;3.481
P2-154;P2;7.988;0.276;22.25;0.24;0.036;6.674
P2-154;P2;6.793;0.147;24;0.112;0.0346;3.244
P2-154;P2;6.738;0.141;35;0.107;0.034;3.144
P2-154;P2;6.204;0.083;18.5;0.054;0.0291;1.854
P2-154;P2;7.445;0.217;23.5;0.192;0.0256;7.495
P2-154;P2;7.282;0.2;23.5;0.154;0.0458;3.363
P2-154;P2;6.668;0.133;21.75;0.091;0.0425;2.137
P2-155;P2;9.324;0.421;21.75;0.37;0.0509;7.271
P2-155;P2;9.392;0.428;19;0.373;0.0553;6.746
P2-155;P2;8.784;0.362;19.5;0.317;0.0455;6.967
P2-155;P2;10.27;0.523;21.5;0.461;0.0625;7.375
P2-155;P2;7.298;0.202;23.25;0.157;0.0448;3.499
P2-155;P2;8.784;0.362;17.5;0.315;0.0475;6.632
P2-155;P2;8.919;0.377;21.5;0.321;0.0566;5.663
P2-155;P2;9.46;0.436;20.75;0.378;0.0573;6.604
P2-155;P2;9.257;0.414;21.75;0.355;0.0587;6.048
P2-155;P2;8.07;0.285;17.25;0.253;0.032;7.911
P2-155;P2;8.716;0.355;20.5;0.319;0.0366;8.703
P2-155;P2;8.176;0.297;21.5;0.26;0.037;7.017
P2-155;P2;8.514;0.333;21.5;0.297;0.0363;8.181
P2-155;P2;7.198;0.191;18.5;0.164;0.0264;6.224
P2-155;P2;8.22;0.301;21;0.269;0.0322;8.361
P2-155;P2;9.392;0.428;17.75;0.379;0.049;7.742
P2-155;P2;8.446;0.326;15.25;0.278;0.0479;5.804
P2-155;P2;8.581;0.341;21;0.306;0.0349;8.757
P2-155;P2;8.311;0.311;19.25;0.272;0.0392;6.94
P2-155;P2;9.122;0.399;24.75;0.347;0.0522;6.646
P2-155;P2;8.999;0.386;20.25;0.34;0.0455;7.479
P2-155;P2;8.643;0.347;17.75;0.3;0.0476;6.295
P2-155;P2;8.581;0.341;22.25;0.286;0.0542;5.282
P2-155;P2;8.539;0.336;21;0.303;0.0327;9.274
P2-155;P2;8.26;0.306;20.25;0.277;0.0288;9.616
