ID;basal_area;Number_of_stems;mean_stem_basal_area;Xrange;Yrange;RangeAvg;infected;CI_tree
2227;0.061575216;1;0.061575216;0;0;0;0;4.203796086
173;0.061653756;2;0.030826878;0.91;0.046;0.478;0;4.175151385
23;0.046809731;2;0.023404866;0.652;0.28;0.466;0;4.159922777
3561;0.061575216;1;0.061575216;0;0;0;0;4.154900394
2212;0.045238934;1;0.045238934;0;0;0;0;4.111884143
242;0.045553093;2;0.022776547;0.141;0.364;0.2525;0;4.107986166
2410;0.061575216;1;0.061575216;0;0;0;0;4.106902514
2443;0.045238934;1;0.045238934;0;0;0;0;4.106673342
3559;0.045238934;1;0.045238934;0;0;0;0;4.095891939
2023;0.045238934;1;0.045238934;0;0;0;0;4.09098441
3010;0.045238934;1;0.045238934;0;0;0;0;4.088925951
3365;0.031415927;1;0.031415927;0;0;0;0;4.078915336
2500;0.057255526;1;0.057255526;0;0;0;0;4.076366357
2259;0.053092916;1;0.053092916;0;0;0;0;4.074850897
3535;0.061575216;1;0.061575216;0;0;0;0;4.07231158
2286;0.038013271;1;0.038013271;0;0;0;0;4.069418862
2706;0.061575216;1;0.061575216;0;0;0;0;3.978812036
198;0.062831853;2;0.031415927;0.94;1.068;1.004;0;3.956098289
304;0.054113933;2;0.027056967;0.363;1.506;0.9345;0;3.955047741
3594;0.034636059;1;0.034636059;0;0;0;0;3.9374244
2165;0.045238934;1;0.045238934;0;0;0;0;3.937109309
2164;0.053092916;1;0.053092916;0;0;0;0;3.931569218
3289;0.038013271;1;0.038013271;0;0;0;0;3.921208219
2206;0.053092916;1;0.053092916;0;0;0;0;3.833858713
90;0.069429198;2;0.034714599;0.363;0.764;0.5635;0;3.822872526
109;0.045945793;3;0.015315264;0.329;0.695;0.512;0;3.818009072
80;0.052621677;5;0.010524335;0.888;0.678;0.783;0;3.807451689
2765;0.053092916;1;0.053092916;0;0;0;0;3.80189582
3632;0.053092916;1;0.053092916;0;0;0;0;3.794182112
2819;0.070685835;1;0.070685835;0;0;0;0;3.768854229
310;0.0597688;2;0.0298844;0.192;0.44;0.316;0;3.754008257
177;0.072335171;3;0.024111724;0.094;1.905;0.9995;0;3.75204596
2110;0.045238934;1;0.045238934;0;0;0;0;3.703607652
3503;0.057255526;1;0.057255526;0;0;0;0;3.691542432
2293;0.053092916;1;0.053092916;0;0;0;0;3.651261046
3575;0.080424772;1;0.080424772;0;0;0;0;3.632232513
2247;0.053092916;1;0.053092916;0;0;0;0;3.597544214
3024;0.070685835;1;0.070685835;0;0;0;0;3.59672293
168;0.062831853;2;0.031415927;0.536;0.026;0.281;0;3.57915766
3576;0.075476764;1;0.075476764;0;0;0;0;3.561324245
2450;0.045238934;1;0.045238934;0;0;0;0;3.557258414
3537;0.08552986;1;0.08552986;0;0;0;1;3.540815089
3592;0.0254469;1;0.0254469;0;0;0;0;3.535909091
3635;0.070685835;1;0.070685835;0;0;0;0;3.517890696
3407;0.061575216;1;0.061575216;0;0;0;0;3.500309568
4247;0.070685835;1;0.070685835;0;0;0;0;3.480455073
178;0.083252205;2;0.041626103;0.814;0.469;0.6415;0;3.469964315
2105;0.053092916;1;0.053092916;0;0;0;0;3.447990388
3317;0.070685835;1;0.070685835;0;0;0;0;3.439505103
10;0.060946897;2;0.030473449;0.207;4.165;2.186;0;3.434631791
2991;0.049087385;1;0.049087385;0;0;0;0;3.431012477
335;0.047909288;2;0.023954644;0.277;0.224;0.2505;0;3.3894435
2716;0.041547563;1;0.041547563;0;0;0;0;3.370872492
131;0.053878314;4;0.013469579;0.636;0.685;0.6605;0;3.336764756
2859;0.053092916;1;0.053092916;0;0;0;0;3.318968907
82;0.069272118;3;0.023090706;0.923;0.455;0.689;0;3.303039039
110;0.048459067;2;0.024229534;0.382;0.53;0.456;0;3.272698807
3432;0.045238934;1;0.045238934;0;0;0;0;3.265314028
2439;0.061575216;1;0.061575216;0;0;0;0;3.257195097
169;0.069429198;2;0.034714599;0.485;0.416;0.4505;0;3.248846983
123;0.087100656;2;0.043550328;0.689;0.026;0.3575;0;3.239025047
76;0.060082959;2;0.03004148;0.081;0.535;0.308;0;3.233659776
202;0.082938046;3;0.027646015;0.502;0.681;0.5915;0;3.213242603
293;0.056862827;2;0.028431414;0.419;0.317;0.368;0;3.206007146
162;0.069429198;2;0.034714599;0.441;0.437;0.439;0;3.192000904
3231;0.061575216;1;0.061575216;0;0;0;0;3.183007054
141;0.051050881;5;0.010210176;0.48;0.436;0.458;0;3.175686416
2717;0.022698007;1;0.022698007;0;0;0;0;3.169723096
3359;0.070685835;1;0.070685835;0;0;0;0;3.167361743
2865;0.045238934;1;0.045238934;0;0;0;0;3.163347472
262;0.06424557;2;0.032122785;0.09;0.463;0.2765;0;3.134443609
2472;0.066051986;1;0.066051986;0;0;0;0;3.115279133
41;0.083723444;2;0.041861722;0.759;0.287;0.523;0;3.109580699
3363;0.057255526;1;0.057255526;0;0;0;0;3.094159002
98;0.114668132;2;0.057334066;0.406;0.054;0.23;1;3.091901539
43;0.075555303;2;0.037777652;0.262;0.401;0.3315;0;3.077940137
167;0.066051986;2;0.033025993;1.293;0.495;0.894;0;3.070326875
2284;0.075476764;1;0.075476764;0;0;0;0;3.064392722
2810;0.070685835;1;0.070685835;0;0;0;1;3.062271797
2207;0.061575216;1;0.061575216;0;0;0;0;3.057613686
3500;0.080424772;1;0.080424772;0;0;0;0;3.034176111
58;0.054742252;2;0.027371126;0.043;0.91;0.4765;0;3.03325398
2354;0.045238934;1;0.045238934;0;0;0;0;3.012175082
208;0.069900437;2;0.034950219;0.136;0.291;0.2135;1;3.006073817
111;0.037777652;2;0.018888826;0.427;0.077;0.252;0;3.005365
2217;0.057255526;1;0.057255526;0;0;0;0;2.991427434
3499;0.070685835;1;0.070685835;0;0;0;0;2.989480127
225;0.080738931;3;0.026912977;0.9;1.133;1.0165;0;2.988949388
2431;0.053092916;1;0.053092916;0;0;0;0;2.980798138
2086;0.070685835;1;0.070685835;0;0;0;0;2.969675533
120;0.071628313;6;0.011938052;1.142;1.674;1.408;0;2.966352652
2955;0.070685835;1;0.070685835;0;0;0;0;2.962943356
86;0.076340701;3;0.0254469;0.749;0.735;0.742;0;2.944813526
89;0.09817477;3;0.032724923;0.08;0.968;0.524;0;2.941292202
2119;0.053092916;1;0.053092916;0;0;0;0;2.926495534
118;0.076262162;3;0.025420721;0.46;0.652;0.556;0;2.91665799
72;0.037777652;2;0.018888826;0.199;0.389;0.294;0;2.909652616
74;0.061575216;6;0.010262536;1.972;0.808;1.39;0;2.881134462
135;0.070842914;4;0.017710729;0.903;0.904;0.9035;0;2.864910805
